Дата;Максимальная температура;Минимальная температура;Средняя температура;Атмосферное давление;Скорость ветра;Осадки;Эффективная температура
01.01.2013;-0,7;-6,4;-1,7;998,8;2;1;-4,8
02.01.2013;2,6;-1,8;-0,6;1003,2;2;0;-3,6
03.01.2013;1,6;-1,1;0,2;998,9;3;0;-3,3
04.01.2013;0,6;-0,8;0,2;992,7;2;0;-2,7
05.01.2013;0,3;-0,8;-0,3;986,6;1;2;-2,5
06.01.2013;-0,6;-2,4;-1,5;985,5;1;3;-3,9
07.01.2013;-0,5;-2,7;-1,5;993,2;1;0;-3,9
08.01.2013;-1,1;-4,7;-2,5;1000,1;4;0;-6,9
09.01.2013;-3,1;-8,2;-6,1;999,1;3;0;-10,3
10.01.2013;-6,4;-9,6;-8,2;997,5;1;0;-11,3
11.01.2013;-5,8;-8,4;-6,6;994,7;3;3;-10,9
12.01.2013;-4;-6,8;-5,1;997,6;1;1;-7,9
13.01.2013;-5,2;-13,3;-8,7;1000,2;3;0;-13,2
14.01.2013;-9,1;-13,1;-10,2;1004,7;4;0;-15,4
15.01.2013;-10,2;-15,2;-12,4;1007,8;3;0;-17,2
16.01.2013;0,1;-15,2;-4;1000,1;3;3;-8
17.01.2013;-0,4;-5,2;-3,2;991,1;3;3;-7,2
18.01.2013;1,3;-6;-0,9;990,9;2;2;-3,9
19.01.2013;1,3;-1,6;-0,7;990,7;1;1;-3
20.01.2013;2,7;-0,6;1,6;984,4;2;3;-1
21.01.2013;0,6;-3,2;-0,4;986,9;2;0;-3,4
22.01.2013;-6,2;-14,1;-9,5;991,1;2;0;-13,4
23.01.2013;-8,3;-16,6;-12,1;990,5;1;0;-15,5
24.01.2013;-6,8;-14,1;-9,7;988,7;2;2;-13,7
25.01.2013;-9,3;-16;-13,1;997,8;2;0;-17,3
26.01.2013;-10,4;-17,5;-14,7;1006,8;1;0;-18,3
27.01.2013;-10,8;-19,4;-15,1;1007,8;2;0;-19,4
28.01.2013;-6,2;-13,3;-8,6;1003,6;3;1;-13,1
29.01.2013;-4,3;-7,2;-5,8;1001,4;3;5;-9,9
30.01.2013;-4,3;-7,4;-5,9;998,6;3;5;-10,1
31.01.2013;-4,6;-6;-5,2;992,6;3;1;-9,3
01.02.2013;0,4;-4,7;-1,6;984,1;3;1;-5,3
02.02.2013;1,6;-0,3;0,9;990,2;2;1;-1,9
03.02.2013;1,8;-0,3;0,7;992,4;6;4;-4,7
04.02.2013;3,7;-0,1;2;984,7;5;2;-2,7
05.02.2013;2,9;-2,2;-0,6;991,8;3;0;-4,4
06.02.2013;1,8;-1,8;-0,3;997,9;3;0;-3,9
07.02.2013;-0,2;-2,4;-1,4;999,6;5;0;-6,4
08.02.2013;-0,6;-1,6;-1;1002,9;5;0;-5,9
09.02.2013;0,6;-0,8;-0,2;1002,5;5;0;-5
10.02.2013;1,2;-0,5;0,8;1003,2;4;1;-3,2
11.02.2013;1,2;-1,5;0;1003,8;2;0;-2,9
12.02.2013;-2,3;-5,1;-3,3;1004,5;2;0;-6,7
13.02.2013;-1,6;-3,8;-2,6;1009,8;1;0;-5,2
14.02.2013;-2,4;-5,3;-3,8;1010;2;0;-7,2
15.02.2013;-1,4;-5,3;-3,8;1004,6;2;1;-7,1
16.02.2013;-2,9;-7;-4,9;999,8;2;0;-8,5
17.02.2013;-5,1;-8,8;-6,8;998,3;2;0;-10,5
18.02.2013;-7;-11,7;-9,4;997,7;2;0;-13,3
19.02.2013;-2;-11,8;-9,2;998,4;2;0;-13,1
20.02.2013;-3,1;-11,3;-7,1;1002,1;1;0;-10,2
21.02.2013;-2,6;-7,4;-4,8;1005,6;1;1;-7,7
22.02.2013;-2,5;-8,5;-5,9;1007,6;1;0;-8,9
23.02.2013;-2,5;-11,6;-8,1;1011,8;1;0;-11,3
24.02.2013;-1,8;-12,2;-7,3;1016,2;1;0;-10,5
25.02.2013;-0,2;-10,5;-5,8;1019,6;1;0;-8,8
26.02.2013;1,6;-9,2;-4,7;1015,2;2;0;-8,4
27.02.2013;1;-6,6;-2,4;1002,7;4;0;-7,1
28.02.2013;2,6;-2,3;0,8;993,7;4;0;-3,5
01.03.2013;1,6;0;0,8;981,6;5;0;-4,1
02.03.2013;2,1;-4,5;-0,6;984,3;4;2;-5
03.03.2013;-0,4;-6,7;-3,5;987,2;2;0;-6,9
04.03.2013;1,2;-7,9;-1,9;985,9;3;5;-5,7
05.03.2013;-6;-13,4;-9,6;1002,8;3;1;-14,3
06.03.2013;0,9;-13,6;-4,5;1004,4;3;0;-8,8
07.03.2013;2,7;-0,1;1,6;992,5;5;0;-3,3
08.03.2013;1,2;-8,6;-3,6;997;3;0;-7,9
09.03.2013;-3,4;-9,7;-6,4;999,5;4;0;-11,5
10.03.2013;-2,7;-6,2;-4,7;989,4;2;6;-8,2
11.03.2013;-5,6;-8;-7,1;988,6;3;6;-11,4
12.03.2013;-3,4;-10,6;-7,4;987,4;4;5;-12,5
13.03.2013;-1,6;-10,2;-6,3;990;1;0;-9,4
14.03.2013;0,4;-7,6;-3,2;994;2;0;-6,5
15.03.2013;6,8;-0,8;4,6;984,6;6;2;-0,4
16.03.2013;6,2;-1;3,8;983,3;4;1;0
17.03.2013;-2,2;-4,4;-2,9;995;3;0;-7
18.03.2013;-1;-4,6;-2,8;997,7;4;0;-7,5
19.03.2013;-1,5;-6,1;-4;991,7;5;0;-9,5
20.03.2013;3,2;-5,1;0,4;984,3;3;7;-3,1
21.03.2013;-1,1;-4,6;-2,7;992,3;5;0;-8,1
22.03.2013;0,7;-7,5;-2,9;997,1;3;0;-6,9
23.03.2013;-0,3;-3,8;-1,8;986,2;4;21;-6,3
24.03.2013;-1,4;-5,6;-3,3;979,4;4;6;-7,9
25.03.2013;-6,8;-10,3;-7,8;986,8;6;4;-14,2
26.03.2013;-5;-12,4;-8,6;992,7;4;0;-13,8
27.03.2013;-1,7;-12,1;-7;996,7;2;0;-10,9
28.03.2013;-1,2;-11,1;-6;1003,6;3;0;-10,6
29.03.2013;2,4;-9,8;-3,6;1009,3;2;0;-7,2
30.03.2013;2,2;-8,8;-1,6;1006,8;4;0;-6,2
31.03.2013;2,7;-0,6;0,9;998,6;3;5;-2,6
01.04.2013;14,7;1;7,5;994,1;4;1;4,1
02.04.2013;11,8;5,2;8,3;994,1;3;0;5,9
03.04.2013;7,1;2;4,9;998,6;3;1;1,9
04.04.2013;10,1;2,8;5,6;999,6;2;0;3,2
05.04.2013;16,4;0,8;9,4;995;2;0;7,6
06.04.2013;12;6,8;9,8;988,4;2;6;8,3
07.04.2013;8,4;1,6;4,1;990;4;3;0,4
08.04.2013;3,3;0,3;2;992,8;2;0;-0,9
09.04.2013;8,5;0,6;4,4;996,6;2;0;1,4
10.04.2013;9,4;-1,1;5;1002,1;3;0;1,3
11.04.2013;9,5;0,2;4,9;1002;2;0;1,9
12.04.2013;12,2;2;7,3;1002,1;1;0;5,2
13.04.2013;12,6;1,2;7,9;1004,5;1;0;6
14.04.2013;16;1,9;9,7;1006,1;2;0;7,2
15.04.2013;15,3;2,2;9,8;1012,6;2;0;7,2
16.04.2013;17,3;1;9,8;1013,5;1;0;7,7
17.04.2013;19,8;2,5;13,1;1008,4;2;0;10,7
18.04.2013;21,4;6,2;13,7;1005,4;1;0;12,3
19.04.2013;22,8;6,2;17,1;1001,9;2;0;15,1
20.04.2013;24,2;6,6;16,6;998,6;1;0;15,2
21.04.2013;14,2;5,6;9,7;996;5;0;5,5
22.04.2013;10,2;1,8;6,5;998,2;4;0;2,5
23.04.2013;11,1;4,4;7,8;999,7;3;0;4,4
24.04.2013;18,4;0,4;10,3;996,4;4;0;6,4
25.04.2013;15,2;3,8;10,6;993,5;5;0;6,2
26.04.2013;14,8;5,6;9,4;995,6;5;1;4,8
27.04.2013;25,2;9,8;19,1;991,7;3;0;16,7
28.04.2013;26,9;16,4;21,3;989,3;4;0;19
29.04.2013;16,2;8,4;12,7;1000,7;3;1;10,1
30.04.2013;22,2;2,8;15,4;1004,6;2;0;13,7
01.05.2013;19,4;10,2;14,4;1002,4;2;3;13,6
02.05.2013;18,8;8,4;13,2;1005,8;2;10;11,2
03.05.2013;19,4;5;13,8;1003,2;2;0;12,7
04.05.2013;27,6;10,2;20;997,8;2;0;19,2
05.05.2013;27,9;12,8;20;994,9;3;0;18,5
06.05.2013;21;10,7;15,5;1000,9;5;0;11,7
07.05.2013;18,2;5,3;12,3;1007,9;2;0;10,2
08.05.2013;25;1,5;13,7;1006,4;1;0;12,6
09.05.2013;25,6;12,6;18,9;1004;1;0;18
10.05.2013;27,8;10,8;20,6;1001,6;1;0;20
11.05.2013;33,8;13,7;21,9;996,8;1;0;21,5
12.05.2013;28,2;12,5;21,6;994;1;0;21,4
13.05.2013;29;11,8;21,8;993,5;2;0;20,4
14.05.2013;29,5;17,4;23,2;991;3;0;21,6
