Год,Месяц,Пассажиров
1949,Январь,112
1949,Февраль,118
1949,Март,132
1949,Апрель,129
1949,Май,121
1949,Июнь,135
1949,Июль,148
1949,Август,148
1949,Сентябрь,136
1949,Октябрь,119
1949,Ноябрь,104
1949,Декабрь,118
1950,Январь,115
1950,Февраль,126
1950,Март,141
1950,Апрель,135
1950,Май,125
1950,Июнь,149
1950,Июль,170
1950,Август,170
1950,Сентябрь,158
1950,Октябрь,133
1950,Ноябрь,114
1950,Декабрь,140
1951,Январь,145
1951,Февраль,150
1951,Март,178
1951,Апрель,163
1951,Май,172
1951,Июнь,178
1951,Июль,199
1951,Август,199
1951,Сентябрь,184
1951,Октябрь,162
1951,Ноябрь,146
1951,Декабрь,166
1952,Январь,171
1952,Февраль,180
1952,Март,193
1952,Апрель,181
1952,Май,183
1952,Июнь,218
1952,Июль,230
1952,Август,242
1952,Сентябрь,209
1952,Октябрь,191
1952,Ноябрь,172
1952,Декабрь,194
1953,Январь,196
1953,Февраль,196
1953,Март,236
1953,Апрель,235
1953,Май,229
1953,Июнь,243
1953,Июль,264
1953,Август,272
1953,Сентябрь,237
1953,Октябрь,211
1953,Ноябрь,180
1953,Декабрь,201
1954,Январь,204
1954,Февраль,188
1954,Март,235
1954,Апрель,227
1954,Май,234
1954,Июнь,264
1954,Июль,302
1954,Август,293
1954,Сентябрь,259
1954,Октябрь,229
1954,Ноябрь,203
1954,Декабрь,229
1955,Январь,242
1955,Февраль,233
1955,Март,267
1955,Апрель,269
1955,Май,270
1955,Июнь,315
1955,Июль,364
1955,Август,347
1955,Сентябрь,312
1955,Октябрь,274
1955,Ноябрь,237
1955,Декабрь,278
1956,Январь,284
1956,Февраль,277
1956,Март,317
1956,Апрель,313
1956,Май,318
1956,Июнь,374
1956,Июль,413
1956,Август,405
1956,Сентябрь,355
1956,Октябрь,306
1956,Ноябрь,271
1956,Декабрь,306
1957,Январь,315
1957,Февраль,301
1957,Март,356
1957,Апрель,348
1957,Май,355
1957,Июнь,422
1957,Июль,465
1957,Август,467
1957,Сентябрь,404
1957,Октябрь,347
1957,Ноябрь,305
1957,Декабрь,336
1958,Январь,340
1958,Февраль,318
1958,Март,362
1958,Апрель,348
1958,Май,363
1958,Июнь,435
1958,Июль,491
1958,Август,505
1958,Сентябрь,404
1958,Октябрь,359
1958,Ноябрь,310
1958,Декабрь,337
1959,Январь,360
1959,Февраль,342
1959,Март,406
1959,Апрель,396
1959,Май,420
1959,Июнь,472
1959,Июль,548
1959,Август,559
1959,Сентябрь,463
1959,Октябрь,407
1959,Ноябрь,362
1959,Декабрь,405
1960,Январь,417
1960,Февраль,391
1960,Март,419
1960,Апрель,461
1960,Май,472
1960,Июнь,535
1960,Июль,622
1960,Август,606
1960,Сентябрь,508
1960,Октябрь,461
1960,Ноябрь,390
1960,Декабрь,432
